datetime_utc,activedids
2023-08-04 12:34:33, 23505
2023-08-05 00:28:42, 23543
2023-08-05 12:33:05, 23601
2023-08-06 00:37:47, 23630
2023-08-06 12:32:51, 23671
2023-08-07 00:34:46, 23683
2023-08-07 12:34:58, 23713
2023-08-08 00:37:44, 23734
2023-08-08 12:34:35, 23782
2023-08-09 00:31:19, 23800
2023-08-09 12:34:56, 23841
2023-08-10 00:31:36, 23854
2023-08-10 12:35:06, 23867
2023-08-11 00:37:35, 23883
2023-08-11 12:33:38, 23902
2023-08-12 00:37:27, 23909
2023-08-12 12:32:27, 23924
2023-08-13 00:37:43, 23931
2023-08-13 12:32:25, 23939
2023-08-14 00:37:39, 23943
2023-08-14 12:34:12, 23967
2023-08-15 00:37:36, 23979
2023-08-15 12:33:47, 23993
2023-08-16 00:37:37, 24008
2023-08-16 12:34:05, 24025
2023-08-17 00:37:34, 24031
2023-08-17 12:33:53, 24072
2023-08-18 00:37:29, 24083
2023-08-18 12:33:45, 24089
2023-08-19 00:37:29, 24091
2023-08-19 12:32:08, 24095
2023-08-20 00:37:46, 24105
2023-08-20 12:32:18, 24116
2023-08-21 00:37:36, 24132
2023-08-21 12:34:29, 24186
2023-08-22 00:37:40, 24210
2023-08-22 12:34:25, 24268
2023-08-23 00:37:36, 24274
2023-08-23 12:34:25, 24295
2023-08-24 00:37:36, 24308
2023-08-24 12:34:28, 24313
2023-08-25 00:37:40, 24314
2023-08-25 12:34:00, 24331
2023-08-26 00:37:29, 24336
2023-08-26 12:32:25, 24340
2023-08-27 00:37:48, 24345
2023-08-27 12:32:38, 24361
2023-08-28 00:37:40, 24377
2023-08-28 12:34:52, 24404
2023-08-29 00:37:43, 24418
2023-08-29 12:34:52, 24431
2023-08-30 00:37:39, 24436
2023-08-30 12:34:48, 24466
2023-08-31 00:37:44, 24493
2023-08-31 12:34:49, 24524
2023-09-01 00:37:53, 24579
2023-09-01 12:34:30, 24595
2023-09-02 00:37:30, 24610
2023-09-02 12:32:31, 24624
2023-09-03 00:37:44, 24637
2023-09-03 12:32:58, 24654
2023-09-04 00:37:50, 24660
2023-09-04 12:34:51, 24680
2023-09-05 00:37:34, 24691
2023-09-05 12:34:55, 24722
2023-09-06 00:37:37, 24728
2023-09-06 12:34:56, 24728
2023-09-07 00:37:40, 24730
2023-09-07 12:34:47, 24734
2023-09-08 00:37:38, 24741
2023-09-08 12:34:35, 24743
2023-09-09 00:37:33, 24749
2023-09-09 12:32:45, 24783
2023-09-10 00:37:47, 24795
2023-09-10 12:32:48, 24809
2023-09-11 00:37:37, 24827
2023-09-11 12:34:53, 24831
2023-09-12 00:37:33, 24837
2023-09-12 12:34:46, 24857
2023-09-13 00:37:38, 24863
2023-09-13 12:34:53, 24885
2023-09-14 00:37:39, 24891
2023-09-14 12:34:49, 24897
2023-09-15 00:37:42, 25170
2023-09-15 12:34:42, 25354
2023-09-16 00:37:34, 25472
2023-09-16 12:32:44, 25561
2023-09-17 00:37:46, 25935
2023-09-17 12:32:55, 26136
2023-09-18 00:37:41, 26275
2023-09-18 12:34:56, 26382
2023-09-19 00:37:42, 26504
2023-09-19 12:34:58, 27028
2023-09-20 00:37:41, 28277
2023-09-20 12:35:00, 28661
2023-09-21 00:37:43, 28836
2023-09-21 12:35:00, 29012
2023-09-22 00:37:41, 29082
2023-09-22 12:34:44, 29215
2023-09-23 00:37:35, 29317
2023-09-23 12:32:58, 29396
2023-09-24 00:37:51, 29453
2023-09-24 12:33:03, 29484
2023-09-25 00:37:41, 29525
2023-09-25 12:35:04, 29563
2023-09-26 00:37:39, 29601
2023-09-26 12:35:04, 29638
2023-09-27 00:37:47, 29713
2023-09-27 12:34:59, 29771
2023-09-28 00:37:43, 29819
2023-09-28 12:35:01, 29889
2023-09-29 00:37:41, 29918
2023-09-29 12:34:50, 29961
2023-09-30 00:37:39, 29971
2023-09-30 12:33:03, 30034
2023-10-01 00:38:01, 30062
2023-10-01 12:33:28, 30085
2023-10-02 00:37:46, 30115
2023-10-02 12:34:56, 30138
2023-10-03 00:37:46, 30156
2023-10-03 12:34:57, 30184
2023-10-04 00:37:47, 30231
2023-10-04 12:35:06, 30251
2023-10-05 00:37:44, 30270
2023-10-05 12:35:10, 30289
2023-10-06 00:37:42, 30307
2023-10-06 12:34:58, 30322
2023-10-07 00:37:39, 30333
2023-10-07 12:33:20, 30345
2023-10-08 00:37:49, 30367
2023-10-08 12:33:27, 30397
2023-10-09 00:37:41, 30416
2023-10-09 12:35:12, 30436
2023-10-10 00:37:41, 30492
2023-10-10 12:35:01, 30500
2023-10-11 00:37:38, 30528
2023-10-11 12:34:56, 30554
2023-10-12 00:37:37, 30571
2023-10-12 12:34:58, 30584
2023-10-13 00:37:46, 30592
2023-10-13 12:34:57, 30621
2023-10-14 00:37:35, 30643
2023-10-14 12:33:23, 30651
2023-10-15 00:37:54, 30670
2023-10-15 12:33:36, 30685
2023-10-16 00:37:44, 30702
2023-10-16 12:35:07, 30728
2023-10-17 00:37:41, 30763
2023-10-17 12:35:01, 30784
2023-10-18 00:37:49, 30812
2023-10-18 12:35:04, 30827
2023-10-19 00:37:41, 30842
2023-10-19 12:35:01, 30858
2023-10-20 00:37:38, 30873
2023-10-20 12:34:53, 30888
2023-10-21 00:37:39, 30892
2023-10-21 12:33:19, 30895
2023-10-22 00:37:51, 30902
2023-10-22 12:33:24, 30912
2023-10-23 00:37:43, 30986
2023-10-23 12:35:03, 31030
2023-10-24 00:37:40, 31048
2023-10-24 12:34:50, 31053
